Date,Open,High,Low,Close,Adj Close,Volume
2023-05-22,31.680000,32.360001,31.670000,32.070000,32.070000,83312400
2023-05-23,31.559999,31.900000,30.730000,30.830000,30.830000,106315000
2023-05-24,30.270000,30.700001,29.770000,30.330000,30.330000,117972500
2023-05-25,32.360001,32.869999,31.680000,32.520000,32.520000,130873500
2023-05-26,32.810001,35.250000,32.790001,34.980000,34.980000,126392200
2023-05-30,36.310001,36.669998,35.040001,35.470001,35.470001,135306400
2023-05-31,34.970001,35.590000,34.400002,34.750000,34.750000,105144500
2023-06-01,34.740002,36.430000,34.410000,36.009998,36.009998,108379600
2023-06-02,36.560001,37.189999,36.009998,36.820000,36.820000,108007500
2023-06-05,36.759998,37.700001,36.560001,36.900002,36.900002,103130900
2023-06-06,36.689999,37.160000,36.259998,36.860001,36.860001,79754500
2023-06-07,36.939999,37.560001,34.770000,34.980000,34.980000,114242700
2023-06-08,35.020000,36.380001,34.950001,36.180000,36.180000,94076900
2023-06-09,36.680000,37.619999,36.200001,36.619999,36.619999,103851700
2023-06-12,37.150002,38.509998,36.840000,38.490002,38.490002,77428700
2023-06-13,39.369999,39.630001,38.320000,39.349998,39.349998,132894200
